days,healthy pop,cd4 depl
86.24024024,1.48E-09,7.11E-07
86.40640641,1.42E-09,7.04E-07
86.57257257,1.36E-09,6.96E-07
86.73873874,1.31E-09,6.89E-07
86.9049049,1.26E-09,6.81E-07
87.07107107,1.21E-09,6.74E-07
87.23723724,1.16E-09,6.67E-07
87.4034034,1.12E-09,6.60E-07
87.56956957,1.07E-09,6.54E-07
87.73573574,1.03E-09,6.47E-07
87.9019019,9.96E-10,6.40E-07
88.06806807,9.62E-10,6.34E-07
88.23423423,9.29E-10,6.28E-07
88.4004004,8.99E-10,6.21E-07
88.56656657,8.71E-10,6.15E-07
88.73273273,8.45E-10,6.09E-07
88.8988989,8.16E-10,6.03E-07
89.06506507,7.88E-10,5.97E-07
89.23123123,7.62E-10,5.92E-07
89.3973974,7.38E-10,5.86E-07
89.56356356,7.15E-10,5.80E-07
89.72972973,6.94E-10,5.75E-07
89.8958959,6.74E-10,5.69E-07
90.06206206,6.56E-10,5.64E-07
90.22822823,6.39E-10,5.59E-07
90.39439439,6.23E-10,5.53E-07
90.56056056,6.09E-10,5.48E-07
90.72672673,5.95E-10,5.43E-07
90.89289289,5.83E-10,5.38E-07
91.05905906,5.72E-10,5.33E-07
91.22522523,5.63E-10,5.29E-07
91.39139139,5.54E-10,5.24E-07
91.55755756,5.46E-10,5.19E-07
91.72372372,5.40E-10,5.14E-07
91.88988989,5.34E-10,5.10E-07
92.05605606,5.30E-10,5.05E-07
92.22222222,5.26E-10,5.01E-07
92.38838839,5.23E-10,4.97E-07
92.55455455,5.21E-10,4.92E-07
92.72072072,5.19E-10,4.88E-07
92.88688689,5.19E-10,4.84E-07
93.05305305,5.19E-10,4.80E-07
93.21921922,5.20E-10,4.76E-07
93.38538539,5.05E-10,4.72E-07
93.55155155,4.71E-10,4.68E-07
93.71771772,4.37E-10,4.64E-07
93.88388388,4.03E-10,4.60E-07
94.05005005,3.71E-10,4.56E-07
94.21621622,3.38E-10,4.52E-07
94.38238238,3.07E-10,4.49E-07
94.54854855,2.76E-10,4.45E-07
94.71471471,2.46E-10,4.42E-07
94.88088088,2.16E-10,4.38E-07
95.04704705,1.87E-10,4.35E-07
95.21321321,1.59E-10,4.31E-07
95.37937938,1.32E-10,4.28E-07
95.54554555,1.05E-10,4.24E-07
95.71171171,7.83E-11,4.21E-07
95.87787788,5.25E-11,4.18E-07
96.04404404,2.75E-11,4.15E-07
96.21021021,3.05E-12,4.12E-07
96.37637638,-2.07E-11,4.09E-07
96.54254254,-4.39E-11,4.05E-07
96.70870871,-6.64E-11,4.03E-07
96.87487487,-8.83E-11,4.00E-07
97.04104104,-1.10E-10,3.97E-07
97.20720721,-1.30E-10,3.94E-07
97.37337337,-1.50E-10,3.91E-07
97.53953954,-1.69E-10,3.88E-07
97.70570571,-1.88E-10,3.86E-07
97.87187187,-2.06E-10,3.83E-07
98.03803804,-2.23E-10,3.80E-07
98.2042042,-2.40E-10,3.78E-07
98.37037037,-2.56E-10,3.75E-07
98.53653654,-2.72E-10,3.73E-07
98.7027027,-2.87E-10,3.70E-07
98.86886887,-3.01E-10,3.68E-07
99.03503504,-3.14E-10,3.65E-07
99.2012012,-3.27E-10,3.63E-07
99.36736737,-3.40E-10,3.61E-07
99.53353353,-3.51E-10,3.58E-07
99.6996997,-3.62E-10,3.56E-07
99.86586587,-3.73E-10,3.54E-07
100.032032,-3.82E-10,3.52E-07
100.1981982,-3.91E-10,3.50E-07
100.3643644,-4.00E-10,3.48E-07
100.5305305,-4.08E-10,3.45E-07
100.6966967,-4.15E-10,3.43E-07
100.8628629,-4.21E-10,3.41E-07
101.029029,-4.27E-10,3.39E-07
101.1951952,-4.32E-10,3.37E-07
101.3613614,-4.37E-10,3.35E-07
101.5275275,-4.41E-10,3.33E-07
101.6936937,-4.44E-10,3.32E-07
101.8598599,-4.47E-10,3.30E-07
102.026026,-4.49E-10,3.28E-07
102.1921922,-4.50E-10,3.26E-07
102.3583584,-4.51E-10,3.24E-07
102.5245245,-4.51E-10,3.22E-07
102.6906907,-4.51E-10,3.21E-07
102.8568569,-4.50E-10,3.19E-07
103.023023,-4.48E-10,3.17E-07
103.1891892,-4.45E-10,3.15E-07
103.3553554,-4.42E-10,3.14E-07
103.5215215,-4.39E-10,3.12E-07
103.6876877,-4.34E-10,3.10E-07
103.8538539,-4.29E-10,3.09E-07
104.02002,-4.24E-10,3.07E-07
104.1861862,-4.17E-10,3.06E-07
104.3523524,-4.10E-10,3.04E-07
104.5185185,-4.03E-10,3.03E-07
104.6846847,-3.95E-10,3.01E-07
104.8508509,-3.86E-10,3.00E-07
105.017017,-3.76E-10,2.99E-07
105.1831832,-3.66E-10,2.97E-07
105.3493493,-3.55E-10,2.96E-07
105.5155155,-3.44E-10,2.94E-07
105.6816817,-3.32E-10,2.93E-07
105.8478478,-3.19E-10,2.92E-07
106.014014,-3.06E-10,2.90E-07
106.1801802,-2.92E-10,2.89E-07
106.3463463,-2.77E-10,2.88E-07
106.5125125,-2.62E-10,2.87E-07
