days,pop,immunesupressed_flow,HD79,HD79_flow,145-97,145-97_flow,396-09,396-09_flow,274-98,274-98_flow,174-97,174-97_flow,GM04,GM04_flow
85.24324324,0.010244124,0.046994434,0.072575974,0.002768765,0.054389872,1.17E-07,0.007058726,1.611034891,0.000459769,0.00242849,1.58E-05,9.94E-05,0.021734103,0.095861312
85.40940941,0.010141508,0.046582753,0.071709182,0.002668283,0.053916212,1.21E-07,0.006889667,1.613856096,0.000452036,0.002394176,1.51E-05,8.74E-05,0.021559912,0.095233625
85.57557558,0.010040518,0.046177606,0.070856452,0.002567272,0.053448072,1.25E-07,0.006724793,1.616527199,0.00044447,0.00236083,1.44E-05,7.59E-05,0.021388274,0.094617495
85.74174174,0.009941124,0.045778912,0.070017522,0.00246573,0.052985373,1.26E-07,0.006563995,1.618956642,0.000437068,0.00232841,1.37E-05,6.50E-05,0.021219146,0.094013
85.90790791,0.009843298,0.045386594,0.069192134,0.002363659,0.052528039,1.25E-07,0.00640717,1.62100369,0.000429827,0.00229687,1.31E-05,5.45E-05,0.021052486,0.093416517
86.07407407,0.00974701,0.045000582,0.068380039,0.002261057,0.052075993,1.23E-07,0.006254215,1.622553291,0.000422741,0.002266165,1.25E-05,4.46E-05,0.020888254,0.092817718
86.24024024,0.009652233,0.044620809,0.067580988,0.002157924,0.051629161,1.22E-07,0.006105032,1.623418433,0.000415807,0.002236249,1.19E-05,3.52E-05,0.020726408,0.092227689
86.40640641,0.00955894,0.044247218,0.06679474,0.00205426,0.05118747,1.21E-07,0.005959525,1.623294844,0.000409022,0.002207076,1.14E-05,2.63E-05,0.02056691,0.091646306
86.57257257,0.009467103,0.043879752,0.06602106,0.001950065,0.050750848,1.20E-07,0.0058176,1.622066539,0.000402382,0.002178599,1.09E-05,1.80E-05,0.020409721,0.091073453
86.73873874,0.009376697,0.043518363,0.065259716,0.001905779,0.050319224,1.19E-07,0.005679165,1.619490166,0.000395883,0.002150772,1.04E-05,1.02E-05,0.020254802,0.090509015
86.9049049,0.009287696,0.043163008,0.064510483,0.001878297,0.049892528,1.18E-07,0.005544132,1.615248368,0.000389522,0.002123546,9.90E-06,2.92E-06,0.020102118,0.089952887
87.07107107,0.009200074,0.042813651,0.063773138,0.00185066,0.049470691,1.17E-07,0.005412414,1.609239706,0.000383296,0.002096873,9.44E-06,-3.78E-06,0.01995163,0.089404967
87.23723724,0.009113807,0.042470259,0.063047464,0.001822868,0.049053647,1.16E-07,0.005283926,1.601259381,0.000377202,0.002070704,9.01E-06,-9.94E-06,0.019803305,0.088865159
87.4034034,0.009028871,0.042132807,0.062333249,0.001794921,0.048641329,1.15E-07,0.005158588,1.5910823,0.000371235,0.00204499,8.60E-06,-1.55E-05,0.019657106,0.088333374
87.56956957,0.008945242,0.041801277,0.061630284,0.001766819,0.048233672,1.14E-07,0.005036319,1.578692761,0.000365395,0.002019681,8.21E-06,-2.06E-05,0.019513,0.087809527
87.73573574,0.008862898,0.041475654,0.060938365,0.001738561,0.047830612,1.12E-07,0.004917041,1.563950464,0.000359676,0.001994727,7.83E-06,-2.51E-05,0.019370952,0.087293541
87.9019019,0.008781815,0.041155932,0.060257292,0.001710148,0.047432085,1.11E-07,0.004800678,1.546814538,0.000354077,0.001970077,7.47E-06,-2.90E-05,0.01923093,0.086785344
